ccd_count clocking datestart             datestop              dec             dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1                 q2               q3               q4                ra            roll          si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board
4         0        2017:036:08:53:06.402 2017:036:08:56:48.703 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  simfa_pos                                        602672055.59 602672277.89 1        
4         0        2017:036:08:56:48.703 2017:036:08:56:52.703 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  clocking,power_cmd                               602672277.89 602672281.89 1        
4         0        2017:036:08:56:52.703 2017:036:08:56:56.703 18.2360504241   ENAB   4         RETR RETR 19736 NMAN      144.15 AA00000000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  clocking,power_cmd                               602672281.89 602672285.89 1        
0         0        2017:036:08:56:56.703 2017:036:08:57:20.703 18.2360504241   ENAB   0         RETR RETR 19736 NMAN      144.15 WSPOW00000 -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 602672285.89 602672309.89 1        
3         0        2017:036:08:57:20.703 2017:036:08:57:48.021 18.2360504241   ENAB   3         RETR RETR 19736 NMAN      144.15 WSPOW1C00E -0.159765842171    -0.721863412901  -0.669847642086  0.0684998232586   171.591262512 95.6328535776 TE_00CAA -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 602672309.89 602672337.20 1        
3         0        2017:036:08:57:48.021 2017:036:08:58:23.703 9.01717977975   ENAB   3         RETR RETR 19736 NMAN      132.97 WSPOW1C00E -0.0574064555272   -0.654524663989  -0.751937400852  0.0537783311324   180.332298528 82.0497448464 TE_00CAA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602672337.20 602672372.89 1        
3         0        2017:036:08:58:23.703 2017:036:08:58:27.703 9.01717977975   ENAB   3         RETR RETR 19736 NMAN      132.97 WSPOW1C00E -0.0574064555272   -0.654524663989  -0.751937400852  0.0537783311324   180.332298528 82.0497448464 TE_005C6 -468      75624  si_mode                                          602672372.89 602672376.89 1        
3         1        2017:036:08:58:27.703 2017:036:09:02:59.329 9.01717977975   ENAB   3         RETR RETR 19736 NMAN      132.97 XTZ0000005 -0.0574064555272   -0.654524663989  -0.751937400852  0.0537783311324   180.332298528 82.0497448464 TE_005C6 -468      75624  clocking,power_cmd                               602672376.89 602672648.51 1        
3         1        2017:036:09:02:59.329 2017:036:09:08:10.637 -6.16399587172  ENAB   3         RETR RETR 19736 NMAN      122.41 XTZ0000005 0.0845523378379    -0.539156680499  -0.837349142322  0.0317394155144   188.34695712  66.0039865797 TE_005C6 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602672648.51 602672959.82 1        
3         1        2017:036:09:08:10.637 2017:036:09:11:11.703 -18.2969521426  ENAB   3         RETR RETR 19736 NMAN      117.07 XTZ0000005 0.18620402544      -0.440698399951  -0.878005856091  0.014788457179    191.549271391 55.17306648   TE_005C6 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602672959.82 602673140.89 1        
3         1        2017:036:09:11:11.703 2017:036:09:13:21.945 -18.2969521426  ENAB   3         RETR RETR 19736 NMAN      117.07 XTZ0000005 0.18620402544      -0.440698399951  -0.878005856091  0.014788457179    191.549271391 55.17306648   TE_005C6 -468      75624  dither                                           602673140.89 602673271.13 1        
3         1        2017:036:09:13:21.945 2017:036:10:07:41.308 -21.9301600225  ENAB   3         RETR RETR 19736 NPNT      115.93 XTZ0000005 0.215216463        -0.410015766     -0.886269535     0.00975993323     192.057909694 51.997976889  TE_005C6 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          602673271.13 602676530.49 1        
3         0        2017:036:10:07:41.308 2017:036:10:07:51.559 -21.9301600225  ENAB   3         RETR RETR 19736 NMAN      115.93 AA00000000 0.215216463        -0.410015766     -0.886269535     0.00975993323     192.057909694 51.997976889  TE_005C6 -468      75624  clocking,pcad_mode,power_cmd                     602676530.49 602676540.74 1        
3         0        2017:036:10:07:51.559 2017:036:10:10:41.308 -21.9301600225  ENAB   3         RETR RETR 19736 NMAN      114.23 AA00000000 0.215216463        -0.410015766     -0.886269535     0.00975993323     192.057909694 51.997976889  TE_005C6 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602676540.74 602676710.49 1        
3         0        2017:036:10:10:41.308 2017:036:10:12:22.037 -21.9301600225  ENAB   3         RETR RETR 19004 NMAN      114.23 AA00000000 0.215216463        -0.410015766     -0.886269535     0.00975993323     192.057909694 51.997976889  TE_005C6 -468      75624  obsid                                            602676710.49 602676811.22 1        
3         0        2017:036:10:12:22.037 2017:036:10:12:26.703 -24.5442686836  ENAB   3         RETR RETR 19004 NMAN      106.36 AA00000000 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_005C6 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602676811.22 602676815.89 1        
3         0        2017:036:10:12:26.703 2017:036:10:12:30.703 -24.5442686836  ENAB   3         RETR RETR 19004 NMAN      106.36 AA00000000 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_005C6 -468      75624  clocking,power_cmd                               602676815.89 602676819.89 1        
3         0        2017:036:10:12:30.703 2017:036:10:12:34.703 -24.5442686836  ENAB   3         RETR RETR 19004 NMAN      106.36 AA00000000 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_005C6 -468      75624  clocking,power_cmd                               602676819.89 602676823.89 1        
0         0        2017:036:10:12:34.703 2017:036:10:12:58.703 -24.5442686836  ENAB   0         RETR RETR 19004 NMAN      106.36 WSPOW00000 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_005C6 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 602676823.89 602676847.89 1        
4         0        2017:036:10:12:58.703 2017:036:10:14:01.703 -24.5442686836  ENAB   4         RETR RETR 19004 NMAN      106.36 WSPOW1E01E 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_005C6 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 602676847.89 602676910.89 1        
4         0        2017:036:10:14:01.703 2017:036:10:14:05.703 -24.5442686836  ENAB   4         RETR RETR 19004 NMAN      106.36 WSPOW1E01E 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_00958 -468      75624  si_mode                                          602676910.89 602676914.89 1        
4         1        2017:036:10:14:05.703 2017:036:10:16:52.515 -24.5442686836  ENAB   4         RETR RETR 19004 NMAN      106.36 XTZ0000005 0.244747784776     -0.411674148782  -0.877681277509  0.0172769055063   194.765869618 53.4866092049 TE_00958 -468      75624  clocking,power_cmd                               602676914.89 602677081.70 1        
4         1        2017:036:10:16:52.515 2017:036:10:21:22.993 -33.0712865647  ENAB   4         RETR RETR 19004 NMAN      90.85  XTZ0000005 0.345876410968     -0.4142128049    -0.840782956244  0.0433737289515   205.401841355 60.1105965122 TE_00958 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602677081.70 602677352.18 1        
4         1        2017:036:10:21:22.993 2017:036:10:25:53.472 -43.1790556132  ENAB   4         RETR RETR 19004 NMAN      75.25  XTZ0000005 0.490694809591     -0.408371898828  -0.765347605734  0.0818170994668   226.164576202 75.3116217695 TE_00958 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602677352.18 602677622.66 1        
4         1        2017:036:10:25:53.472 2017:036:10:30:23.950 -46.9072127141  ENAB   4         RETR RETR 19004 NMAN      67.25  XTZ0000005 0.578893873404     -0.398197160106  -0.703625856674  0.105979045659    243.268635029 88.939720572  TE_00958 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    602677622.66 602677893.13 1        
4         1        2017:036:10:30:23.950 2017:036:11:05:30.816 -47.4142637627  ENAB   4         RETR RETR 19004 NPNT      65.47  XTZ0000005 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          602677893.13 602680000.00 1        
4         1        2017:036:11:05:30.816 2017:036:13:52:10.816 -47.4142637627  ENAB   4         RETR RETR 19004 NPNT      65.49  XTZ0000005 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      75624  pitch                                            602680000.00 602690000.00 1        
4         1        2017:036:13:52:10.816 2017:036:16:38:50.816 -47.4142637627  ENAB   4         RETR RETR 19004 NPNT      65.59  XTZ0000005 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      75624  pitch                                            602690000.00 602700000.00 1        
4         1        2017:036:16:38:50.816 2017:036:19:25:30.816 -47.4142637627  ENAB   4         RETR RETR 19004 NPNT      65.70  XTZ0000005 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      75624  pitch                                            602700000.00 602710000.00 1        
4         1        2017:036:19:25:30.816 2017:036:21:35:38.604 -47.4142637627  ENAB   4         RETR RETR 19004 NPNT      65.80  XTZ0000005 0.602857747        -0.394381176     -0.684348672     0.112662863       248.524520475 93.2147510562 TE_00958 -468      75624  pitch                                            602710000.00 602717807.79 1        
